 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              0,         1,           0,          0
 3,             2,               0,              0,         2,           0,          0
 4,             3,               0,              0,         4,           0,          0
 5,             4,               0,              0,         5,           0,          0
 6,             6,               0,              0,         7,           0,          0
 7,            10,               0,              0,        10,           0,          0
 8,            11,               0,              0,        14,           0,          0
 9,            12,               0,              0,        15,           0,          0
10,            13,               0,              0,        17,           0,          0
