   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           2,          0
   3,             3,               2,              0,         3,           5,          0
   4,             4,               2,              0,         5,           8,          0
   5,             5,               2,              0,         6,          12,          0
   6,             6,               2,              0,         8,          16,          0
   7,             7,               2,              0,        10,          20,          0
   8,             8,               2,              0,        13,          24,          0
   9,             9,               2,              0,        14,          29,          0
  10,            10,               2,              0,        16,          34,          0
  11,            11,               2,              0,        18,          39,          0
  12,            13,               3,              0,        21,          44,          0
  13,            14,               3,              0,        24,          49,          0
  14,            15,               3,              0,        26,          54,          0
  15,            16,               3,              0,        30,          59,          0
  16,            17,               3,              0,        33,          64,          0
  17,            19,               4,              0,        34,          70,          0
  18,            20,               4,              0,        38,          76,          0
  19,            21,               4,              0,        40,          82,          0
  20,            23,               5,              0,        41,          88,          0
  21,            25,               6,              0,        45,          94,        999
  22,            26,               6,              0,        50,         100,          0
  23,            27,               6,              0,        51,         106,          0
  24,            28,               6,              0,        55,         112,          0
  25,            29,               6,              0,        57,         118,          0
  26,            31,               7,              0,        62,         124,          0
  27,            33,               8,              0,        65,         130,          0
  28,            36,              10,              0,        67,         136,          0
  29,            37,              10,              0,        73,         142,          0
  30,            38,              10,              0,        77,         148,        999
  31,            40,              11,              0,        81,         154,          0
  32,            41,              11,              0,        85,         160,          0
  33,            42,              11,              0,        86,         167,          0
  34,            43,              11,              0,        89,         174,          0
  35,            45,              12,              0,        90,         181,          0
  36,            46,              12,              0,        95,         188,          0
  37,            47,              12,           1000,        98,         195,          0
  38,            48,              12,              0,       101,         202,          0
  39,            49,              12,              0,       105,         209,          0
  40,            51,              13,              0,       107,         216,          0
  41,            52,              13,              0,       110,         223,          0
  42,            53,              13,              0,       112,         230,        999
  43,            54,              13,              0,       116,         237,          0
  44,            55,              13,              0,       121,         244,          0
  45,            56,              13,              0,       125,         251,          0
  46,            57,              13,              0,       125,         258,          0
  47,            59,              14,              0,       131,         265,        999
  48,            61,              15,              0,       137,         272,          0
  49,            62,              15,              0,       139,         279,          0
  50,            63,              15,              0,       142,         286,          0
  51,            65,              16,              0,       145,         293,       1000
  52,            67,              17,              0,       152,         300,          0
  53,            70,              19,              0,       156,         307,          0
  54,            73,              21,              0,       160,         314,          0
  55,            74,              21,              0,       165,         321,       1000
  56,            75,              21,              0,       163,         328,          0
  57,            76,              21,              0,       165,         335,          0
  58,            77,              21,              0,       179,         342,          0
  59,            78,              21,              0,       180,         349,       1000
  60,            79,              21,              0,       184,         356,          0
  61,            80,              21,              0,       187,         363,          0
  62,            81,              21,              0,       194,         370,        999
  63,            82,              21,              0,       198,         377,          0
  64,            84,              22,              0,       202,         384,          0
  65,            85,              22,              0,       204,         392,          0
  66,            86,              22,           1001,       205,         400,          0
  67,            87,              22,              0,       209,         408,          0
  68,            89,              23,              0,       214,         416,          0
  69,            92,              25,              0,       216,         424,        999
  70,            96,              28,              0,       219,         432,          0
  71,           100,              31,              0,       220,         440,          0
  72,           101,              31,              0,       230,         448,       1000
  73,           102,              31,              0,       230,         456,          0
  74,           103,              31,              0,       237,         464,          0
  75,           104,              31,           1000,       240,         472,          0
  76,           105,              31,              0,       239,         480,          0
  77,           106,              31,              0,       245,         488,        999
  78,           108,              32,              0,       250,         496,          0
  79,           111,              34,              0,       254,         504,          0
  80,           112,              34,              0,       262,         512,       1001
  81,           113,              34,              0,       262,         520,          0
  82,           114,              34,              0,       263,         528,        999
  83,           116,              35,              0,       271,         536,          0
  84,           117,              35,              0,       270,         544,          0
  85,           120,              37,              0,       274,         552,          0
  86,           124,              40,              0,       280,         560,          0
  87,           125,              40,              0,       285,         568,        998
  88,           126,              40,              0,       291,         576,          0
  89,           127,              40,              0,       294,         584,       1000
  90,           128,              40,              0,       302,         592,          0
  91,           130,              41,              0,       304,         600,        999
  92,           131,              41,              0,       307,         608,          0
  93,           132,              41,              0,       310,         616,          0
  94,           133,              41,           1000,       314,         624,          0
  95,           134,              41,              0,       320,         632,          0
  96,           135,              41,              0,       326,         640,          0
  97,           139,              44,              0,       329,         648,          0
  98,           144,              48,              0,       333,         656,       1000
  99,           145,              48,              0,       340,         664,       1001
 100,           146,              48,              0,       343,         672,          0
 101,           147,              48,              0,       346,         680,        999
 102,           148,              48,              0,       349,         688,          0
 103,           149,              48,              0,       354,         696,        999
 104,           150,              48,              0,       357,         704,          0
 105,           151,              48,              0,       359,         712,        999
 106,           152,              48,              0,       364,         720,          0
 107,           154,              49,              0,       366,         728,       1000
 108,           156,              50,              0,       380,         736,          0
 109,           160,              53,           1000,       381,         744,          0
 110,           163,              55,              0,       388,         752,       1000
 111,           164,              55,              0,       391,         760,          0
 112,           165,              55,              0,       389,         768,        999
 113,           167,              56,              0,       391,         776,          0
 114,           169,              57,              0,       397,         784,       1000
 115,           173,              60,              0,       400,         792,       1000
 116,           174,              60,              0,       421,         800,          0
 117,           175,              60,              0,       420,         808,        999
 118,           176,              60,              0,       422,         816,          0
 119,           179,              62,              0,       425,         824,       1000
 120,           180,              62,              0,       437,         832,       1000
 121,           181,              62,              0,       438,         840,          0
 122,           182,              62,              0,       442,         848,        999
 123,           183,              62,              0,       447,         856,       1000
 124,           184,              62,              0,       455,         864,          0
 125,           185,              62,              0,       457,         872,       1000
 126,           186,              62,              0,       464,         880,        999
 127,           187,              62,              0,       470,         888,        999
 128,           188,              62,              0,       477,         896,          0
 129,           191,              64,              0,       479,         905,       1000
 130,           192,              64,              0,       478,         914,       1000
 131,           193,              64,              0,       483,         923,          0
 132,           194,              64,           1000,       485,         932,          0
 133,           196,              65,              0,       489,         941,        999
 134,           197,              65,           1000,       494,         950,          0
