    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               1,              0,         1,           2,          0
    3,             3,               3,              0,         3,           5,          0
    4,             4,               3,              0,         5,           8,          0
    5,             5,               3,              0,         6,          12,          0
    6,             7,               4,              0,         8,          16,       1000
    7,            10,               6,              0,        11,          20,          0
    8,            11,               6,              0,        14,          24,          0
    9,            12,               6,              0,        15,          29,          0
   10,            13,               6,              0,        18,          34,          0
   11,            15,               7,              0,        21,          39,          0
   12,            16,               7,              0,        23,          44,          0
   13,            18,               8,              0,        24,          49,          0
   14,            19,               8,              0,        29,          54,          0
   15,            20,               8,              0,        30,          59,          0
   16,            22,               9,              0,        36,          64,          0
   17,            25,              11,              0,        38,          70,          0
   18,            26,              11,              0,        40,          76,          0
   19,            27,              11,              0,        41,          82,          0
   20,            29,              12,              0,        47,          88,          0
   21,            30,              12,              0,        51,          94,          0
   22,            31,              12,              0,        51,         100,        999
   23,            33,              13,              0,        54,         106,          0
   24,            34,              13,              0,        61,         112,          0
   25,            35,              13,              0,        62,         118,          0
   26,            36,              13,              0,        62,         124,          0
   27,            37,              13,              0,        63,         130,          0
   28,            41,              16,              0,        72,         136,          0
   29,            43,              17,              0,        75,         142,          0
   30,            44,              17,              0,        79,         148,       1000
   31,            45,              17,              0,        82,         154,          0
   32,            46,              17,              0,        88,         160,          0
   33,            49,              19,              0,        90,         167,          0
   34,            51,              20,              0,        93,         174,          0
   35,            55,              23,              0,        95,         181,          0
   36,            56,              23,              0,       101,         188,          0
   37,            57,              23,              0,       102,         195,          0
   38,            59,              24,              0,       104,         202,          0
   39,            60,              24,              0,       108,         209,          0
   40,            61,              24,              0,       114,         216,          0
   41,            62,              24,              0,       115,         223,          0
   42,            64,              25,              0,       122,         230,        999
   43,            67,              27,              0,       125,         237,          0
   44,            69,              28,              0,       127,         244,          0
   45,            70,              28,              0,       131,         251,          0
   46,            71,              28,              0,       134,         258,          0
   47,            73,              29,              0,       137,         265,       1000
   48,            76,              31,              0,       147,         272,          0
   49,            77,              31,              0,       149,         279,          0
   50,            78,              31,              0,       153,         286,          0
   51,            80,              32,              0,       155,         293,       1000
   52,            82,              33,              0,       155,         300,          0
   53,            83,              33,              0,       160,         307,          0
   54,            84,              33,              0,       161,         314,          0
   55,            85,              33,              0,       165,         321,       1000
   56,            86,              33,              0,       172,         328,          0
   57,            87,              33,              0,       175,         335,          0
   58,            88,              33,              0,       182,         342,        999
   59,            89,              33,              0,       182,         349,          0
   60,            90,              33,              0,       189,         356,          0
   61,            91,              33,              0,       193,         363,          0
   62,            92,              33,              0,       198,         370,        999
   63,            93,              33,              0,       201,         377,          0
   64,            95,              34,              0,       207,         384,          0
   65,            96,              34,              0,       209,         392,       1000
   66,            97,              34,              0,       213,         400,          0
   67,            98,              34,              0,       215,         408,          0
   68,            99,              34,              0,       217,         416,       1000
   69,           100,              34,              0,       218,         424,          0
   70,           101,              34,              0,       221,         432,          0
   71,           102,              34,              0,       225,         440,       1000
   72,           103,              34,              0,       230,         448,          0
   73,           104,              34,              0,       232,         456,          0
   74,           105,              34,              0,       237,         464,       1000
   75,           106,              34,              0,       240,         472,          0
   76,           107,              34,              0,       240,         480,        999
   77,           108,              34,              0,       242,         488,          0
   78,           109,              34,              0,       249,         496,          0
   79,           111,              35,              0,       254,         504,        999
   80,           112,              35,              0,       261,         512,          0
   81,           113,              35,              0,       263,         520,       1001
   82,           114,              35,              0,       265,         528,          0
   83,           115,              35,              0,       268,         536,          0
   84,           117,              36,              0,       275,         544,        999
   85,           118,              36,              0,       278,         552,          0
   86,           121,              38,              0,       283,         560,        999
   87,           122,              38,              0,       287,         568,          0
   88,           123,              38,              0,       290,         576,       1000
   89,           124,              38,              0,       294,         584,          0
   90,           125,              38,              0,       297,         592,          0
   91,           126,              38,              0,       301,         600,          0
   92,           127,              38,              0,       306,         608,          0
   93,           128,              38,              0,       310,         616,       1000
   94,           129,              38,              0,       311,         624,          0
   95,           130,              38,              0,       319,         632,       1000
   96,           131,              38,              0,       328,         640,          0
   97,           132,              38,              0,       330,         648,        999
   98,           133,              38,              0,       331,         656,          0
   99,           134,              38,              0,       335,         664,       1000
  100,           135,              38,              0,       342,         672,          0
  101,           137,              39,              0,       344,         680,        999
  102,           138,              39,              0,       347,         688,          0
  103,           139,              39,              0,       350,         696,       1000
  104,           140,              39,              0,       352,         704,          0
  105,           141,              39,              0,       354,         712,        999
  106,           142,              39,              0,       359,         720,          0
  107,           144,              40,              0,       364,         728,          0
  108,           147,              42,              0,       366,         736,          0
  109,           148,              42,              0,       370,         744,          0
  110,           149,              42,              0,       376,         752,       1000
  111,           150,              42,              0,       381,         760,          0
  112,           153,              44,              0,       390,         768,       1000
  113,           154,              44,              0,       393,         776,          0
  114,           155,              44,              0,       398,         784,       1001
  115,           157,              45,              0,       400,         792,        999
  116,           159,              46,              0,       410,         800,          0
  117,           161,              47,              0,       415,         808,       1000
  118,           162,              47,              0,       416,         816,          0
  119,           163,              47,              0,       420,         824,       1000
  120,           164,              47,              0,       428,         832,        999
  121,           165,              47,              0,       431,         840,          0
  122,           166,              47,              0,       440,         848,       1000
  123,           167,              47,              0,       441,         856,          0
  124,           169,              48,              0,       449,         864,          0
  125,           170,              48,              0,       453,         872,        999
  126,           171,              48,              0,       460,         880,          0
  127,           172,              48,              0,       465,         888,       1000
  128,           174,              49,              0,       470,         896,        999
  129,           175,              49,              0,       472,         905,          0
  130,           178,              51,              0,       475,         914,          0
  131,           179,              51,              0,       480,         923,        999
  132,           180,              51,              0,       484,         932,          0
  133,           182,              52,            999,       483,         941,          0
  134,           183,              52,              0,       491,         950,       1000
  135,           184,              52,              0,       489,         959,       1000
