    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               0,              0,         1,           2,          0
    3,             2,               0,              0,         2,           5,          0
    4,             5,               3,              0,         5,           8,          0
    5,             7,               4,              0,         7,          12,          0
    6,            12,               9,              0,        10,          16,          0
    7,            18,              15,              0,        12,          20,          0
    8,            25,              21,              0,        16,          24,          0
    9,            28,              23,              0,        20,          29,          0
   10,            35,              29,              0,        21,          34,          0
   11,            36,              29,              0,        26,          39,          0
   12,            46,              38,              0,        31,          44,          0
   13,            50,              41,              0,        34,          49,          0
   14,            56,              46,              0,        37,          54,       1000
   15,            60,              49,              0,        43,          59,          0
   16,            69,              57,              0,        48,          64,          0
   17,            72,              59,              0,        52,          70,          0
   18,            87,              73,              0,        58,          76,          0
   19,            97,              82,              0,        62,          82,          0
   20,           101,              85,              0,        64,          88,          0
   21,           112,              95,              0,        69,          94,          0
   22,           113,              95,              0,        74,         100,          0
   23,           116,              97,              0,        75,         106,          0
   24,           126,             106,              0,        84,         112,          0
   25,           147,             126,              0,        88,         118,       1000
   26,           159,             137,              0,        94,         124,          0
   27,           176,             153,              0,        97,         130,          0
   28,           182,             158,              0,       102,         136,          0
   29,           189,             164,              0,       105,         142,          0
   30,           211,             185,              0,       116,         148,          0
   31,           241,             215,              0,       116,         154,          0
   32,           268,             241,              0,       124,         160,          0
   33,           294,             266,              0,       129,         167,          0
   34,           318,             289,           1000,       130,         174,          0
   35,           346,             316,              0,       136,         181,          0
   36,           381,             350,              0,       146,         188,          0
   37,           397,             365,           1000,       153,         195,          0
   38,           431,             398,              0,       156,         202,          0
   39,           469,             436,              0,       158,         209,          0
   40,           497,             463,           1000,       163,         216,          0
   41,           512,             477,              0,       166,         223,          0
   42,           514,             478,            999,       177,         230,          0
   43,           519,             482,              0,       179,         237,          0
   44,           531,             493,              0,       184,         244,       1000
   45,           575,             537,              0,       193,         251,          0
   46,           618,             579,              0,       196,         258,       1000
   47,           633,             593,              0,       195,         265,       1000
   48,           652,             611,              0,       208,         272,          0
   49,           696,             654,            999,       215,         279,          0
   50,           723,             680,              0,       222,         286,          0
   51,           753,             709,           1000,       227,         293,          0
   52,           804,             759,              0,       234,         300,        999
   53,           855,             809,              0,       239,         307,          0
   54,           905,             858,           1000,       243,         314,          0
   55,           927,             879,              0,       245,         321,       1000
   56,           973,             924,              0,       257,         328,          0
   57,          1026,             976,            999,       263,         335,          0
   58,          1036,             985,           1000,       266,         342,          0
   59,          1091,            1039,              0,       271,         349,       1000
   60,          1134,            1081,              0,       281,         356,          0
   61,          1162,            1108,           1000,       288,         363,          0
   62,          1198,            1143,            999,       289,         370,          0
   63,          1216,            1160,           1000,       298,         377,          0
   64,          1235,            1178,              0,       302,         384,       1000
   65,          1293,            1235,              0,       309,         392,       1000
   66,          1350,            1291,              0,       317,         400,          0
   67,          1363,            1303,           1000,       322,         408,          0
   68,          1408,            1347,            999,       329,         416,          0
   69,          1430,            1368,           1000,       333,         424,          0
   70,          1499,            1436,           1001,       344,         432,          0
   71,          1529,            1465,            999,       347,         440,          0
   72,          1540,            1475,            999,       358,         448,          0
   73,          1587,            1521,              0,       365,         456,        999
   74,          1630,            1563,              0,       371,         464,       1000
   75,          1699,            1631,              0,       377,         472,        999
   76,          1760,            1691,            999,       388,         480,          0
   77,          1806,            1736,           1001,       389,         488,          0
   78,          1810,            1739,            999,       396,         496,          0
   79,          1837,            1765,           1000,       395,         504,       1000
   80,          1879,            1806,              0,       409,         512,        999
   81,          1907,            1833,           1001,       417,         520,          0
   82,          1933,            1858,            999,       417,         528,          0
   83,          1936,            1860,            999,       417,         536,       1001
   84,          1980,            1903,              0,       437,         544,        999
   85,          2050,            1972,            998,       442,         552,          0
   86,          2053,            1974,           1001,       440,         560,          0
   87,          2089,            2009,              0,       449,         568,       1000
   88,          2129,            2048,           1000,       458,         576,          0
   89,          2191,            2109,           1000,       466,         584,       1000
   90,          2270,            2187,           1000,       474,         592,          0
   91,          2323,            2239,            999,       482,         600,       1000
   92,          2333,            2248,           1000,       483,         608,          0
   93,          2400,            2314,            999,       491,         616,        999
   94,          2425,            2338,           1000,       492,         624,          0
   95,          2454,            2366,           1000,       499,         632,        999
   96,          2542,            2453,            999,       513,         640,          0
   97,          2630,            2540,           1000,       519,         648,        999
   98,          2695,            2604,           1000,       529,         656,          0
   99,          2710,            2618,           1000,       531,         664,          0
  100,          2797,            2704,           1000,       546,         672,        999
  101,          2811,            2717,           1000,       551,         680,       1000
  102,          2870,            2775,           1000,       549,         688,          0
  103,          2904,            2808,           2000,       561,         696,          0
  104,          2979,            2882,           1999,       573,         704,          0
  105,          3083,            2985,           1001,       578,         712,       1000
  106,          3110,            3011,           1000,       583,         720,       1000
  107,          3199,            3099,            999,       594,         728,       1000
  108,          3238,            3137,           1000,       596,         736,        999
  109,          3333,            3231,            999,       601,         744,       1001
  110,          3372,            3269,            999,       608,         752,       1000
  111,          3457,            3353,           1000,       614,         760,        999
  112,          3568,            3464,           1000,       630,         768,       1000
  113,          3603,            3498,           2000,       637,         776,          0
  114,          3626,            3520,           1999,       640,         784,          0
  115,          3738,            3631,           2000,       651,         792,       1000
  116,          3801,            3693,            999,       646,         800,       1000
  117,          3820,            3711,           2000,       653,         808,          0
  118,          3912,            3802,           2000,       660,         816,          0
  119,          3956,            3845,           2000,       663,         824,        999
  120,          4075,            3964,           2000,       681,         832,          0
  121,          4103,            3991,           2000,       687,         840,       1000
  122,          4218,            4105,            999,       692,         848,       1000
  123,          4304,            4190,           2000,       702,         856,        999
  124,          4321,            4206,            999,       706,         864,       1000
  125,          4352,            4236,           2000,       710,         872,       1000
  126,          4463,            4346,           2000,       721,         880,          0
