n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
0,             0,               0,              0,         0,           0,          0
1,             0,               0,              0,         0,           0,          0
2,             1,               0,              0,         1,           2,          0
3,             3,               2,              0,         3,           5,          0
4,             6,               4,              0,         4,           8,          0
5,             9,               6,              0,         6,          12,          0
6,            12,               8,              0,         9,          16,          0
7,            18,              13,              0,        13,          20,          0
8,            19,              13,              0,        16,          24,          0
9,            27,              20,              0,        20,          29,          0
